source,relation,target
CVE-2026-56394,affects,craftcms:cms
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY42VGKP2-ET2
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-HXV4022S-W
CVE-2026-40735,has_weakness,CWE-502
CVE-2016-20073,has_weakness,CWE-89
CAPEC-57,maps_to,T1053.006
CVE-2026-48776,has_weakness,CWE-863
T1588.005,mitigated_by,Pre-compromise
CWE-770,mapped_to,CAPEC-482
CVE-2026-38714,has_weakness,CWE-77
CAPEC-435,maps_to,T1608.005
CAPEC-2,maps_to,T1136.001
CVE-2026-40455,affects,LMS:LMS
T1602.001,mitigated_by,Encrypt Sensitive Information
CVE-2026-56381,has_weakness,CWE-79
CAPEC-149,maps_to,T1589.003
T1597.002,mitigated_by,Pre-compromise
CAPEC-538,maps_to,T1493
CAPEC-187,maps_to,T1195.002
CVE-2025-60085,affects,ThemeREX Group:Learnify
CAPEC-551,maps_to,T1562.001
CVE-2026-5139,affects,Mattermost:Mattermost
T1220,mitigated_by,Execution Prevention
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY20VGK2-ET2
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY25VGKP2-E2
CWE-602,mapped_to,CAPEC-388
CAPEC-385,maps_to,T1685.001
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AP80VGKD-A1
CAPEC-455,maps_to,T1156
CVE-2026-52722,affects,Red Hat:Red Hat Enterprise Linux 8
CAPEC-57,maps_to,T1018
T1110,mitigated_by,Multi-factor Authentication
CAPEC-578,maps_to,T1685.002
T1491.001,mitigated_by,Data Backup
CVE-2026-46815,affects,Oracle Corporation:Oracle VM VirtualBox
CAPEC-547,maps_to,T1652
CAPEC-199,maps_to,T1550
CAPEC-49,maps_to,T1555
CVE-2026-5482,has_weakness,CWE-434
CVE-2026-53859,has_weakness,CWE-918
CAPEC-270,maps_to,T1546.004
CAPEC-155,maps_to,T1081
T1219.002,mitigated_by,Filter Network Traffic
CVE-2026-35321,has_weakness,CWE-284
CVE-2026-12136,affects,"phppoet:SysBasics Customize My Account for WooCommerce – Dashboard, Endpoints, Avatar & Menu Manager"
CVE-2026-52720,affects,Red Hat:Red Hat Enterprise Linux 9
T1553.005,mitigated_by,Disable or Remove Feature or Program
CWE-614,mapped_to,CAPEC-102
CAPEC-238,maps_to,T1497
CAPEC-263,maps_to,T1003.007
CAPEC-189,maps_to,T1684
CAPEC-670,maps_to,T1195.001
CAPEC-576,maps_to,T1574.010
CVE-2026-46922,has_weakness,CWE-306
CAPEC-238,maps_to,T1068
